0	6
1	1
2	2
3	3
4	2
5	10
6	3
7	1
8	5
9	11
10	6
11	6
12	1
13	6
14	5
15	11
16	3
17	2
18	6
19	7
20	1
21	3
22	5
23	6
24	8
25	5
26	6
27	10
28	3
29	10
30	6
31	7
32	6
33	0
34	3
35	7
36	11
37	11
38	5
39	7
40	5
41	1
42	10
43	11
44	1
45	9
46	6
47	1
48	1
49	1
50	11
51	11
52	11
53	2
54	6
55	5
56	11
57	6
58	6
59	6
60	6
61	11
62	3
63	6
64	6
65	2
66	7
67	3
68	6
69	6
70	1
71	3
72	6
73	11
74	5
75	10
76	6
77	5
78	2
79	6
80	3
81	3
82	3
83	6
84	5
85	0
86	1
87	5
88	3
89	5
90	11
91	8
92	5
93	7
94	1
95	0
96	11
97	10
98	8
99	10
100	5
101	5
102	5
103	7
104	6
105	7
106	2
107	6
108	6
109	11
110	11
111	7
112	6
113	3
114	6
115	10
116	6
117	1
118	1
119	5
120	10
121	6
122	5
123	11
124	1
125	3
126	1
127	3
128	5
129	5
130	9
131	1
132	1
133	11
134	5
135	6
136	7
137	9
138	0
139	1
140	3
141	11
142	6
143	6
144	7
145	7
146	11
147	6
148	6
149	9
150	11
151	4
152	8
153	8
154	5
155	8
156	3
157	6
158	11
159	9
160	3
161	10
162	7
163	7
164	6
165	2
166	5
167	7
168	2
169	3
170	4
171	6
172	5
173	5
174	6
175	1
176	6
177	1
178	5
179	10
180	5
181	3
182	7
183	11
184	8
185	5
186	1
187	5
188	1
189	5
190	11
191	3
192	5
193	1
194	7
195	3
196	6
197	2
198	11
199	5
200	1
201	1
202	3
203	6
204	1
205	7
206	5
207	10
208	9
209	6
210	7
211	6
212	11
213	6
214	3
215	6
216	6
217	5
218	11
219	3
220	10
221	6
222	5
223	11
224	1
225	10
226	1
227	9
228	4
229	9
230	7
231	5
232	9
233	11
234	11
235	8
236	11
237	5
238	1
239	5
240	6
241	7
242	2
243	6
244	6
245	11
246	11
247	5
248	6
249	11
250	6
251	6
252	1
253	7
254	3
255	10
256	10
257	11
258	5
259	6
260	7
261	2
262	9
263	10
264	7
265	2
266	5
267	11
268	7
269	9
270	1
271	8
272	5
273	11
274	5
275	4
276	5
277	7
278	2
279	1
280	1
281	3
282	6
283	7
284	6
285	5
286	7
287	11
288	5
289	6
290	5
291	7
292	1
293	2
294	10
295	10
296	5
297	6
298	1
299	2
300	9
301	7
302	7
303	9
304	10
305	7
306	11
307	11
308	9
309	7
310	5
311	7
312	3
313	3
314	11
315	5
316	7
317	1
318	7
319	5
320	5
321	2
322	5
323	2
324	11
325	7
326	5
327	6
328	7
329	6
330	5
331	5
332	3
333	6
334	7
335	1
336	11
337	3
338	1
339	6
340	3
341	5
342	2
343	11
344	1
345	7
346	6
347	5
348	1
349	7
350	11
351	1
352	1
353	1
354	11
355	6
356	0
357	1
358	4
359	6
360	6
361	5
362	5
363	1
364	7
365	5
366	11
367	11
368	1
369	6
370	7
371	6
372	9
373	7
374	3
375	0
376	10
377	5
378	5
379	5
380	1
381	6
382	11
383	11
384	7
385	5
386	2
387	6
388	5
389	6
390	1
391	1
392	1
393	5
394	1
395	7
396	5
397	3
398	8
399	1
400	1
401	6
402	11
403	6
404	11
405	11
406	3
407	5
408	3
409	5
410	11
411	6
412	11
413	3
414	8
415	6
416	1
417	6
418	6
419	1
420	2
421	6
422	5
423	2
424	11
425	9
426	1
427	5
428	7
429	9
430	3
431	2
432	7
433	11
434	6
435	3
436	3
437	6
438	2
439	1
440	3
441	7
442	3
443	8
444	9
445	11
446	1
447	11
448	4
449	11
450	10
451	3
452	9
453	6
454	11
455	9
456	7
457	3
458	6
459	10
460	6
461	5
462	3
463	9
464	10
465	11
466	6
467	6
468	11
469	11
470	5
471	11
472	5
473	0
474	5
475	11
476	10
477	5
478	3
479	1
480	7
481	10
482	5
483	5
484	3
485	11
486	5
487	8
488	1
489	8
490	1
491	7
492	6
493	5
494	7
495	3
496	7
497	6
498	5
499	11
500	7
501	3
502	11
503	6
504	5
505	1
506	11
507	1
508	7
509	3
510	5
511	3
512	6
513	10
514	5
515	3
516	0
517	1
518	1
519	3
520	10
521	8
522	2
523	3
524	8
525	7
526	2
527	11
528	3
529	7
530	1
531	6
532	8
533	4
534	10
535	7
536	6
537	4
538	8
539	9
540	7
541	6
542	11
543	9
544	5
545	7
546	11
547	1
548	11
549	11
550	3
551	5
552	3
553	5
554	9
555	6
556	11
557	9
558	6
559	0
560	5
561	1
562	5
563	1
564	11
565	5
566	3
567	11
568	3
569	5
570	1
571	5
572	7
573	10
574	3
575	7
576	8
577	1
578	6
579	9
580	6
581	11
582	10
583	1
584	7
585	1
586	5
587	6
588	6
589	6
590	6
591	3
592	3
593	6
594	1
595	6
596	3
597	5
598	1
599	3
600	11
601	5
602	3
603	11
604	8
605	2
606	2
607	11
608	7
609	11
610	7
611	3
612	3
613	7
614	11
615	6
616	6
617	10
618	11
619	6
620	6
621	11
622	6
623	9
624	11
625	0
626	11
627	9
628	3
629	1
630	0
631	1
632	6
633	8
634	5
635	11
636	10
637	7
638	3
639	7
640	2
641	6
642	2
643	6
644	6
645	8
646	11
647	2
648	7
649	5
650	11
651	3
652	11
653	1
654	2
655	1
656	9
657	6
658	1
659	7
660	5
661	6
662	11
663	10
664	10
665	6
666	1
667	11
668	5
669	11
670	10
671	3
672	9
673	11
674	0
675	3
676	1
677	3
678	7
679	3
680	5
681	0
682	5
683	9
684	10
685	8
686	1
687	8
688	3
689	5
690	11
691	1
692	11
693	11
694	3
695	6
696	4
697	11
698	11
699	11
700	5
701	5
702	3
703	11
704	3
705	0
706	6
707	5
708	5
709	6
710	11
711	6
712	0
713	11
714	5
715	0
716	5
717	3
718	6
719	10
720	1
721	1
722	3
723	9
724	6
725	1
726	10
727	6
728	5
729	3
730	10
731	11
732	11
733	10
734	2
735	6
736	1
737	7
738	10
739	6
740	7
741	7
742	7
743	9
744	6
745	7
746	1
747	3
748	8
749	11
750	5
751	11
752	11
753	3
754	2
755	11
756	5
757	7
758	5
759	5
760	1
761	11
762	5
763	6
764	5
765	6
766	1
767	0
768	6
769	11
770	5
771	1
772	3
773	10
774	11
775	0
776	7
777	5
778	3
779	6
780	9
781	6
782	1
783	10
784	1
785	4
786	7
787	6
788	6
789	0
790	6
791	6
792	5
793	3
794	5
795	2
796	3
797	2
798	8
799	7
800	11
801	5
802	5
803	8
804	3
805	7
806	9
807	6
808	7
809	10
810	1
811	5
812	7
813	8
814	6
815	7
816	2
817	6
818	1
819	7
820	10
821	9
822	10
823	1
824	10
825	9
826	7
827	1
828	6
829	5
830	1
831	9
832	7
833	3
834	6
835	5
836	6
837	1
838	11
839	7
840	3
841	6
842	5
843	3
844	9
845	6
846	11
847	3
848	7
849	2
850	6
851	7
852	9
853	9
854	6
855	7
856	6
857	3
858	2
859	5
860	3
861	7
862	10
863	11
864	4
865	1
866	5
867	3
868	5
869	11
870	0
871	5
872	1
873	7
874	10
875	10
876	11
877	2
878	9
879	5
880	3
881	9
882	10
883	1
884	5
885	10
886	5
887	6
888	5
889	6
890	0
891	11
892	9
893	11
894	6
895	6
896	6
897	2
898	7
899	0
900	5
901	5
902	7
903	6
904	6
905	3
906	7
907	11
908	7
909	6
910	0
911	5
912	2
913	6
914	7
915	11
916	6
917	6
918	8
919	1
920	3
921	9
922	11
923	5
924	8
925	6
926	3
927	3
928	3
929	0
930	3
931	11
932	8
933	0
934	7
935	8
936	5
937	0
938	11
939	10
940	11
941	0
942	3
943	10
944	6
945	4
946	10
947	2
948	1
949	5
950	5
951	1
952	7
953	2
954	1
955	9
956	10
957	3
958	6
959	3
960	7
961	1
962	6
963	5
964	2
965	6
966	11
967	4
968	3
969	3
970	3
971	3
972	11
973	7
974	9
975	3
976	5
977	3
978	6
979	5
980	8
981	4
982	3
983	9
984	7
985	9
986	2
987	5
988	5
989	3
990	2
991	3
992	9
993	11
994	3
995	1
996	0
997	9
998	10
999	11
1000	1
1001	0
1002	4
1003	11
1004	7
1005	9
1006	2
1007	5
1008	1
1009	1
1010	6
1011	5
1012	9
1013	1
1014	5
1015	1
1016	1
1017	5
1018	5
1019	7
1020	1
1021	7
1022	11
1023	2
1024	1
1025	7
1026	11
1027	9
1028	6
1029	2
1030	3
1031	6
1032	11
1033	1
1034	6
1035	5
1036	11
1037	5
1038	3
1039	7
1040	6
1041	6
1042	1
1043	4
1044	5
1045	2
1046	3
1047	3
1048	9
1049	4
1050	0
1051	11
1052	5
1053	2
1054	2
1055	10
1056	8
1057	9
1058	5
1059	10
1060	9
1061	9
1062	5
1063	3
1064	10
1065	7
1066	3
1067	11
1068	11
1069	8
1070	8
1071	1
1072	2
1073	1
1074	5
1075	7
1076	3
1077	1
1078	11
1079	11
1080	11
1081	11
1082	5
1083	7
1084	6
1085	7
1086	5
1087	7
1088	11
1089	8
1090	5
1091	11
1092	0
1093	3
1094	7
1095	3
1096	2
1097	8
1098	9
1099	3
1100	3
1101	7
1102	3
1103	6
1104	11
1105	6
1106	7
1107	11
1108	11
1109	11
1110	7
1111	11
1112	3
1113	6
1114	1
1115	10
1116	11
1117	7
1118	3
1119	8
1120	11
1121	6
1122	11
1123	5
1124	3
1125	1
1126	6
1127	3
1128	1
1129	11
1130	11
1131	7
1132	1
